PassengerId,Survived,Pclass,Male,Age,SibSp,Parch,Fare,Cabin,Embarked
804,1,3,1,0.42,0,1,8.5167,,C
756,1,2,1,0.67,1,1,14.5,,S
470,1,3,0,0.75,2,1,19.2583,,C
645,1,3,0,0.75,2,1,19.2583,,C
79,1,2,1,0.83,0,2,29,,S
832,1,2,1,0.83,1,1,18.75,,S
306,1,1,1,0.92,1,2,151.55,C22 C26,S
165,0,3,1,1,4,1,39.6875,,S
173,1,3,0,1,1,1,11.1333,,S
184,1,2,1,1,2,1,39,F4,S
382,1,3,0,1,0,2,15.7417,,C
387,0,3,1,1,5,2,46.9,,S
789,1,3,1,1,1,2,20.575,,S
828,1,2,1,1,0,2,37.0042,,C
8,0,3,1,2,3,1,21.075,,S
17,0,3,1,2,4,1,29.125,,Q
120,0,3,0,2,4,2,31.275,,S
206,0,3,0,2,0,1,10.4625,G6,S
298,0,1,0,2,1,2,151.55,C22 C26,S
341,1,2,1,2,1,1,26,F2,S
480,1,3,0,2,0,1,12.2875,,S
531,1,2,0,2,1,1,26,,S
643,0,3,0,2,3,2,27.9,,S
825,0,3,1,2,4,1,39.6875,,S
44,1,2,0,3,1,2,41.5792,,C
194,1,2,1,3,1,1,26,F2,S
262,1,3,1,3,4,2,31.3875,,S
349,1,3,1,3,1,1,15.9,,S
375,0,3,0,3,3,1,21.075,,S
408,1,2,1,3,1,1,18.75,,S
11,1,3,0,4,1,1,16.7,G6,S
64,0,3,1,4,3,2,27.9,,S
172,0,3,1,4,4,1,29.125,,Q
185,1,3,0,4,0,2,22.025,,S
446,1,1,1,4,0,2,81.8583,A34,S
619,1,2,0,4,2,1,39,F4,S
692,1,3,0,4,0,1,13.4167,,C
751,1,2,0,4,1,1,23,,S
851,0,3,1,4,4,2,31.275,,S
870,1,3,1,4,1,1,11.1333,,S
59,1,2,0,5,1,2,27.75,,S
234,1,3,0,5,4,2,31.3875,,S
449,1,3,0,5,2,1,19.2583,,C
778,1,3,0,5,0,0,12.475,,S
721,1,2,0,6,0,1,33,,S
752,1,3,1,6,0,1,12.475,E121,S
814,0,3,0,6,4,2,31.275,,S
51,0,3,1,7,4,1,39.6875,,S
279,0,3,1,7,4,1,29.125,,Q
536,1,2,0,7,0,2,26.25,,S
25,0,3,0,8,3,1,21.075,,S
238,1,2,0,8,0,2,26.25,,S
550,1,2,1,8,1,1,36.75,,S
788,0,3,1,8,4,1,29.125,,Q
148,0,3,0,9,2,2,34.375,,S
166,1,3,1,9,0,2,20.525,,S
183,0,3,1,9,4,2,31.3875,,S
481,0,3,1,9,5,2,46.9,,S
490,1,3,1,9,1,1,15.9,,S
542,0,3,0,9,4,2,31.275,,S
635,0,3,0,9,3,2,27.9,,S
853,0,3,0,9,1,1,15.2458,,C
420,0,3,0,10,0,2,24.15,,S
820,0,3,1,10,3,2,27.9,,S
60,0,3,1,11,5,2,46.9,,S
543,0,3,0,11,4,2,31.275,,S
732,0,3,1,11,0,0,18.7875,,C
803,1,1,1,11,1,2,120,B96 B98,S
126,1,3,1,12,1,0,11.2417,,C
447,1,2,0,13,0,1,19.5,,S
781,1,3,0,13,0,0,7.2292,,C
10,1,2,0,14,1,0,30.0708,,C
15,0,3,0,14,0,0,7.8542,,S
40,1,3,0,14,1,0,11.2417,,C
436,1,1,0,14,1,2,120,B96 B98,S
684,0,3,1,14,5,2,46.9,,S
687,0,3,1,14,4,1,39.6875,,S
112,0,3,0,14.5,1,0,14.4542,,C
23,1,3,0,15,0,0,8.0292,,Q
353,0,3,1,15,1,1,7.2292,,C
690,1,1,0,15,0,1,211.3375,B5,S
831,1,3,0,15,1,0,14.4542,,C
876,1,3,0,15,0,0,7.225,,C
72,0,3,0,16,5,2,46.9,,S
87,0,3,1,16,1,3,34.375,,S
139,0,3,1,16,0,0,9.2167,,S
157,1,3,0,16,0,0,7.7333,,Q
209,1,3,0,16,0,0,7.75,,Q
221,1,3,1,16,0,0,8.05,,S
